uid,project_name,risk_score,archetype_id,archetype_label
702629,Agra Metro Rail Project,24.48557833333642,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
615189,MAKARDHOKRA EXPN OC 4.9 MTY,23.390008624808488,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
705919,Agra Fort-Bandikui Doubling Line Project,21.928821558972576,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618049,Up-gradation to 2/4 lane with paved shoulder configuration of NH-652 from Tuljapur Naldurg-Akkalkot road Chainage from Km. 00.000 to km 30.982 in the State of Maharashtra on EPC mode.,19.242890619533583,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
617888,Landslide treatment work on NH 58 from Kodiyala Km. 266.130 to Devprayag Km. 296.925 10 location under EPC mode in the State of Uttarakhand on EPC Mode,17.298598145200447,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
709815,4th line - Bhatapara-Hathband 8.8 km PB72/NR/2022-23,14.260308068045092,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
400178,DINESH[MAKARDHOKRA-III] OC,14.2034628096464,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
400162,BLOCK B EXPANSION [3.5 TO 8.0,12.06599114645039,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618129,"Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.",7.814017705536884,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618544,"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",98.44213835317616,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
619087,Widening to 6L of Existing 4L Jetpur - Gondal - Rajkot Section from Km. 117.600 to Km. 185.00 on NH-27,98.10416837643608,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618608,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43.0 to Km 96.174 of NH66,96.82850363918882,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618841,4L Elevated Section and at-grade improvements at Begusarai town Simaria - Khagaria section from Km. 221.047 to Km. 225.302 of NH-31,96.41036008722202,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618516,6L from Sankeshwar Bypass to MH-KNT Border from Km. 555.017 to Km. 592.853 of NH-48 Pkg-II,96.39261148456843,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618795,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,96.21741225053316,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618723,6L access Controlled Greenfield Highway from Ranipur Barsi to Adhoya Musalmana section of Shamli -Ambala Package-II Design Ch. Form km 45.500 to km 84.400,96.18095461472709,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618936,Jagadhari - Tajewala from Km -0.175 to 32.337 km of NH-344,96.10448887650564,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
619095,Balance works of 4L Panvel Indapur section of NH66 old NH17 from km 42.300 kasu to km 84.600 Indapur,96.06236762839904,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
619071,Tumkur - Nelamangala 6L,95.78989206299052,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
618505,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,95.64533475885555,1,Cost already revised upward (%) + Original planned duration (months) + Financial progress (spend as % of sanctioned cost)
